"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-16,1
0,0,1,2020-03-17,NA
0,0,1,2020-03-18,NA
1,1,2,2020-03-19,1
0,0,1,2020-03-20,NA
0,0,2,2020-03-21,NA
1,1,5,2020-03-22,1
4,4,12,2020-03-23,4
5,4,14,2020-03-24,4
3,2,11,2020-03-25,2
13,11,32,2020-03-26,11
5,4,17,2020-03-27,4
6,5,20,2020-03-28,5
10,8,26,2020-03-29,8
5,4,16,2020-03-30,4
4,3,14,2020-03-31,3
9,7,25,2020-04-01,7
13.5,11,35,2020-04-02,11
9,7,27,2020-04-03,7
15,12,40,2020-04-04,12
10,8,31,2020-04-05,8
19,15,49,2020-04-06,15
13,10,37,2020-04-07,10
9,7,25,2020-04-08,7
7,6,17,2020-04-09,6
0,0,4,2020-04-10,NA
0,0,2,2020-04-11,NA
0,0,1,2020-04-12,NA
0,0,1,2020-04-13,NA
0,0,1,2020-04-14,NA
0,0,1,2020-04-15,NA
0,0,1,2020-04-16,NA
0,0,1,2020-04-17,NA
0,0,1,2020-04-18,NA
0,0,2,2020-04-19,NA
0,0,3,2020-04-20,NA
0,0,4,2020-04-21,NA
0,0,5,2020-04-22,NA
0,0,7,2020-04-23,NA
0,0,8,2020-04-24,NA
