"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-06,1
0,0,0,2020-03-07,NA
1,1,2,2020-03-08,1
2,2,3,2020-03-09,2
0,0,1,2020-03-10,NA
0,0,1,2020-03-11,NA
0,0,1,2020-03-12,NA
0,0,1,2020-03-13,NA
1,1,2,2020-03-14,1
1,1,2,2020-03-15,1
0,0,1,2020-03-16,NA
0,0,1,2020-03-17,NA
0,0,2,2020-03-18,NA
2,2,4,2020-03-19,2
1,1,3,2020-03-20,1
0,0,2,2020-03-21,NA
2,2,5,2020-03-22,2
4,3,8,2020-03-23,3
4,3,8,2020-03-24,3
6,5,11,2020-03-25,5
5,4,9,2020-03-26,4
1,1,5,2020-03-27,1
0,0,3,2020-03-28,NA
4,3,7,2020-03-29,3
3,2,7,2020-03-30,2
4,3,8,2020-03-31,3
4,3,9,2020-04-01,3
3,2,8,2020-04-02,2
9,7,16,2020-04-03,7
7,5,14,2020-04-04,5
9,7,16,2020-04-05,7
4,3,9,2020-04-06,3
5,4,9,2020-04-07,4
2,2,6,2020-04-08,2
1,1,4,2020-04-09,1
0,0,2,2020-04-10,NA
0,0,2,2020-04-11,NA
0,0,1,2020-04-12,NA
0,0,1,2020-04-13,NA
0,0,1,2020-04-14,NA
0,0,1,2020-04-15,NA
0,0,1,2020-04-16,NA
0,0,1,2020-04-17,NA
0,0,2,2020-04-18,NA
0,0,2,2020-04-19,NA
0,0,2,2020-04-20,NA
0,0,2,2020-04-21,NA
0,0,3,2020-04-22,NA
0,0,3,2020-04-23,NA
0,0,4,2020-04-24,NA
