"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-12,1
0,0,0,2020-03-13,NA
0,0,0,2020-03-14,NA
0,0,1,2020-03-15,NA
2,2,3,2020-03-16,2
1,1,2,2020-03-17,1
1,1,2,2020-03-18,1
1,1,2,2020-03-19,1
1,1,3,2020-03-20,1
0,0,2,2020-03-21,NA
6,6,10,2020-03-22,6
3,3,7,2020-03-23,3
7,6,11,2020-03-24,6
5,5,10,2020-03-25,5
5,5,9,2020-03-26,5
1,1,4,2020-03-27,1
4,4,7,2020-03-28,4
2,2,5,2020-03-29,2
3,3,7,2020-03-30,3
5,5,9,2020-03-31,5
6,5,10,2020-04-01,5
7,6,12,2020-04-02,6
9,8,14,2020-04-03,8
0,0,2,2020-04-04,NA
2,2,4,2020-04-05,2
0,0,1,2020-04-06,NA
0,0,1,2020-04-07,NA
0,0,1,2020-04-08,NA
0,0,1,2020-04-09,NA
0,0,0,2020-04-10,NA
0,0,0,2020-04-11,NA
0,0,0,2020-04-12,NA
0,0,0,2020-04-13,NA
0,0,0,2020-04-14,NA
0,0,0,2020-04-15,NA
0,0,1,2020-04-16,NA
0,0,1,2020-04-17,NA
0,0,1,2020-04-18,NA
0,0,1,2020-04-19,NA
0,0,1,2020-04-20,NA
0,0,1,2020-04-21,NA
0,0,2,2020-04-22,NA
0,0,2,2020-04-23,NA
0,0,2,2020-04-24,NA
