"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-02,1
4,4,5,2020-03-03,4
0,0,1,2020-03-04,NA
2,2,3,2020-03-05,2
1,1,2,2020-03-06,1
4,4,6,2020-03-07,4
2,2,4,2020-03-08,2
3,3,5,2020-03-09,3
2,2,4,2020-03-10,2
0,0,1,2020-03-11,NA
0,0,1,2020-03-12,NA
3,3,5,2020-03-13,3
3,3,5,2020-03-14,3
3,3,5,2020-03-15,3
1,1,3,2020-03-16,1
1,1,3,2020-03-17,1
1,1,3,2020-03-18,1
1,1,3,2020-03-19,1
1,1,3,2020-03-20,1
4,4,7,2020-03-21,4
4,4,7,2020-03-22,4
4,3,7,2020-03-23,3
9,8,13,2020-03-24,8
8,7,12,2020-03-25,7
6,5,10,2020-03-26,5
10,8,14,2020-03-27,8
15,13,21,2020-03-28,13
23,19,30,2020-03-29,19
28,23,36,2020-03-30,23
37,32,48,2020-03-31,31
31,27,41,2020-04-01,26
24,20,33,2020-04-02,20
35,30,45,2020-04-03,29
24,20,33,2020-04-04,20
31,27,40,2020-04-05,26
27,22,35,2020-04-06,22
25,21,33,2020-04-07,21
23,19,30,2020-04-08,19
13,11,17,2020-04-09,11
0,0,2,2020-04-10,NA
0,0,2,2020-04-11,NA
0,0,1,2020-04-12,NA
0,0,1,2020-04-13,NA
0,0,1,2020-04-14,NA
0,0,1,2020-04-15,NA
0,0,1,2020-04-16,NA
0,0,1,2020-04-17,NA
0,0,2,2020-04-18,NA
0,0,2,2020-04-19,NA
0,0,2,2020-04-20,NA
0,0,3,2020-04-21,NA
0,0,3,2020-04-22,NA
0,0,3,2020-04-23,NA
0,0,4,2020-04-24,NA
