"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-13,1
0,0,0,2020-03-14,NA
0,0,0,2020-03-15,NA
0,0,0,2020-03-16,NA
0,0,0,2020-03-17,NA
0,0,1,2020-03-18,NA
0,0,1,2020-03-19,NA
1,1,2,2020-03-20,1
1,1,2,2020-03-21,1
0,0,1,2020-03-22,NA
0,0,1,2020-03-23,NA
1,1,2,2020-03-24,1
0,0,2,2020-03-25,NA
3,3,5,2020-03-26,3
0,0,2,2020-03-27,NA
1,1,3,2020-03-28,1
0,0,2,2020-03-29,NA
1,1,3,2020-03-30,1
1,1,3,2020-03-31,1
1,1,4,2020-04-01,1
2,2,5,2020-04-02,2
2,2,6,2020-04-03,2
3,3,7,2020-04-04,3
0,0,3,2020-04-05,NA
3,3,7,2020-04-06,3
3,3,7,2020-04-07,3
2,2,5,2020-04-08,2
0,0,2,2020-04-09,NA
0,0,1,2020-04-10,NA
0,0,1,2020-04-11,NA
0,0,1,2020-04-12,NA
0,0,1,2020-04-13,NA
0,0,1,2020-04-14,NA
0,0,1,2020-04-15,NA
0,0,1,2020-04-16,NA
0,0,1,2020-04-17,NA
0,0,1,2020-04-18,NA
0,0,2,2020-04-19,NA
0,0,2,2020-04-20,NA
0,0,2,2020-04-21,NA
0,0,3,2020-04-22,NA
0,0,3,2020-04-23,NA
0,0,3,2020-04-24,NA
