"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-15,1
0,0,0,2020-03-16,NA
1,1,2,2020-03-17,1
2,2,3,2020-03-18,2
0,0,1,2020-03-19,NA
0,0,1,2020-03-20,NA
2,2,3,2020-03-21,2
2,2,3,2020-03-22,2
0,0,1,2020-03-23,NA
3,3,5,2020-03-24,3
4,4,7,2020-03-25,4
6,6,9,2020-03-26,6
2,2,5,2020-03-27,2
4,4,7,2020-03-28,4
6,6,9,2020-03-29,6
3,3,6,2020-03-30,3
3,3,6,2020-03-31,3
5,5,8,2020-04-01,5
8,7,11,2020-04-02,7
4,4,8,2020-04-03,4
10,9,14,2020-04-04,9
6,5,9,2020-04-05,5
6,6,10,2020-04-06,6
4,4,7,2020-04-07,4
2,2,4,2020-04-08,2
0,0,1,2020-04-09,NA
0,0,1,2020-04-10,NA
0,0,1,2020-04-11,NA
0,0,1,2020-04-12,NA
0,0,1,2020-04-13,NA
0,0,1,2020-04-14,NA
0,0,1,2020-04-15,NA
0,0,1,2020-04-16,NA
0,0,1,2020-04-17,NA
0,0,1,2020-04-18,NA
0,0,2,2020-04-19,NA
0,0,2,2020-04-20,NA
0,0,2,2020-04-21,NA
0,0,3,2020-04-22,NA
0,0,3,2020-04-23,NA
0,0,3,2020-04-24,NA
