"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-18,1
0,0,1,2020-03-19,NA
0,0,1,2020-03-20,NA
0,0,1,2020-03-21,NA
1,1,3,2020-03-22,1
8,8,14,2020-03-23,8
6,6,12,2020-03-24,6
4,4,9,2020-03-25,4
12,11,20,2020-03-26,11
6,6,11,2020-03-27,6
1,1,4,2020-03-28,1
2,2,5,2020-03-29,2
2,2,5,2020-03-30,2
6,6,11,2020-03-31,6
5,5,10,2020-04-01,5
9,8,15,2020-04-02,8
5,5,10,2020-04-03,5
1,1,3,2020-04-04,1
0,0,2,2020-04-05,NA
1,1,2,2020-04-06,1
1,1,2,2020-04-07,1
1,1,2,2020-04-08,1
0,0,1,2020-04-09,NA
0,0,1,2020-04-10,NA
0,0,1,2020-04-11,NA
0,0,0,2020-04-12,NA
0,0,0,2020-04-13,NA
0,0,0,2020-04-14,NA
0,0,0,2020-04-15,NA
0,0,1,2020-04-16,NA
0,0,1,2020-04-17,NA
0,0,1,2020-04-18,NA
0,0,1,2020-04-19,NA
0,0,1,2020-04-20,NA
0,0,2,2020-04-21,NA
0,0,2,2020-04-22,NA
0,0,3,2020-04-23,NA
0,0,4,2020-04-24,NA
